gene	lof.pLI
ACVR1B	9.9993e-01
ACVR1C	1.7151e-01
ACVR2A	1.0000e+00
ACVR2B	9.9999e-01
ACVRL1	9.9484e-01
ACY1	2.1010e-01
ACY3	1.7160e-04
ACYP1	5.2904e-01
ACYP2	6.7047e-02
ADA	1.7357e-10
ADA2	1.2385e-01
ADAD1	1.3889e-01
ADAD2	7.9592e-13
ADAL	4.2549e-04
ADAM10	1.0000e+00
ADAM11	4.3549e-04
ADAM12	3.6989e-07
ADAM15	4.4531e-10
ADAM17	2.0846e-01
ADAM18	2.9931e-04
ADAM19	5.8216e-09
ADAM2	8.2223e-11
ADAM20	1.1909e-01
ADAM21	1.4126e-01
ADAM22	9.9927e-01
ADAM23	9.9999e-01
ADAM28	1.0807e-07
ADAM29	4.9144e-01
ADAM30	1.5018e-01
ADAM32	1.2689e-01
ADAM33	1.4719e-19
ADAM7	8.5205e-06
ADAM8	8.6068e-06
ADAM9	6.7531e-02
ADAMDEC1	1.6960e-14
ADAMTS1	1.0000e+00
ADAMTS10	9.9626e-01
ADAMTS12	3.3988e-06
ADAMTS13	6.3963e-05
ADAMTS14	3.6888e-14
ADAMTS15	8.8220e-01
ADAMTS16	1.5142e-05
ADAMTS17	2.3632e-04
ADAMTS18	3.1091e-01
ADAMTS19	2.6260e-10
ADAMTS2	5.8182e-02
ADAMTS20	1.4203e-17
ADAMTS3	2.8237e-08
ADAMTS4	2.2903e-01
ADAMTS5	7.2782e-12
ADAMTS6	1.0000e+00
ADAMTS7	1.9152e-08
ADAMTS8	1.3915e-14
ADAMTS9	9.3864e-01
ADAMTSL1	1.4132e-01
ADAMTSL2	2.1736e-08
ADAMTSL3	7.8717e-07
ADAMTSL4	7.6710e-18
ADAMTSL5	3.8336e-03
ADAP1	1.5442e-04
ADAP2	2.4412e-03
ADAR	1.0000e+00
ADARB1	1.0000e+00
ADARB2	9.3788e-01
ADAT1	6.5021e-01
ADAT2	2.1270e-04
ADAT3	1.2485e-03
ADCK1	6.6342e-04
ADCK2	1.5030e-01
ADCK5	1.8094e-10
ADCY1	1.0000e+00
ADCY10	4.0163e-01
ADCY2	1.0000e+00
ADCY3	2.6108e-01
ADCY4	4.8468e-02
ADCY5	1.0000e+00
ADCY6	1.8403e-01
ADCY7	6.9704e-01
ADCY8	2.6379e-01
ADCY9	4.6131e-01
ADCYAP1	2.2276e-01
ADCYAP1R1	1.3039e-01
ADD1	1.0000e+00
ADD2	1.0000e+00
ADD3	1.0000e+00
ADGB	2.6837e-02
ADGRA1	2.6890e-01
ADGRA2	3.3304e-05
ADGRA3	4.2215e-01
ADGRB1	1.0000e+00
ADGRB2	1.0000e+00
ADGRB3	1.0000e+00
ADGRD1	6.9373e-03
ADGRE1	2.9197e-10
ADGRE2	4.5260e-17
ADGRE3	1.5017e-02
ADGRE5	1.3053e-01
ADGRF1	2.3090e-10
ADGRF2	1.0257e-05
ADGRF3	5.4852e-05
ADGRF4	1.0670e-16
ADGRF5	2.2368e-07
ADGRG1	2.5926e-01
ADGRG3	1.2236e-05
ADGRG5	4.5303e-03
ADGRG6	3.8792e-01
ADGRG7	1.6140e-10
ADGRL1	1.0000e+00
ADGRL2	1.0000e+00
ADGRL3	1.0000e+00
ADGRL4	2.6831e-02
ADGRV1	2.7734e-01
ADH1A	8.6269e-09
ADH1B	1.8715e-05
ADH1C	3.7344e-03
ADH4	5.0598e-04
ADH5	2.0090e-02
ADH6	9.9846e-06
ADH7	6.6428e-03
ADHFE1	1.6781e-05
ADI1	9.5328e-02
ADIG	1.1917e-02
ADIPOQ	3.5736e-09
ADIPOR1	8.2715e-01
ADIPOR2	1.7407e-01
ADIRF	1.4312e-02
ADK	9.6913e-02
ADM	9.1683e-01
ADM2	1.2264e-04
ADM5	2.1097e-01
ADNP	1.0000e+00
ADNP2	3.3456e-01
ADO	1.2302e-03
ADORA1	8.6116e-01
ADORA2A	8.5625e-01
ADORA2B	1.0181e-02
ADORA3	3.5970e-01
ADPGK	2.3216e-02
ADPRH	6.5428e-04
ADPRHL1	3.4874e-05
ADPRM	8.3838e-04
ADPRS	1.8880e-03
ADRA1A	5.9565e-07
ADRA1B	5.6481e-01
ADRA1D	4.3487e-10
ADRA2A	4.5157e-03
ADRA2B	8.2996e-07
ADRA2C	1.6783e-01
ADRB1	1.1160e-01
ADRB2	1.0085e-03
ADRB3	2.7754e-16
ADRM1	1.0000e+00
ADSL	3.5960e-01
ADSS1	2.9181e-04
ADSS2	2.0139e-01
ADTRP	7.0607e-04
AEBP1	3.2249e-01
AEBP2	9.9422e-01
AEN	3.0987e-02
AFAP1	6.2708e-01
AFAP1L1	2.0843e-09
AFAP1L2	9.1532e-01
AFDN	1.0000e+00
AFF1	9.9997e-01
AFF2	9.9577e-01
AFF3	1.0000e+00
AFF4	1.0000e+00
AFG1L	1.0455e-01
AFG3L2	1.4758e-04
AFM	1.1373e-17
AFMID	2.7128e-03
AFP	3.8412e-11
AFTPH	1.0000e+00
AGA	5.4655e-02
AGAP1	1.0000e+00
AGAP2	9.9999e-01
AGAP3	1.0000e+00
AGAP4	1.8991e-01
AGAP5	4.6473e-01
AGAP6	1.1349e-04
AGAP9	4.8845e-04
AGBL1	1.7587e-33
AGBL2	3.7882e-02
AGBL3	3.7466e-01
AGBL4	1.8337e-05
AGBL5	5.2076e-01
AGER	7.7285e-08
AGFG1	1.0000e+00
AGFG2	9.7329e-03
AGGF1	5.1687e-05
AGK	6.8483e-02
AGL	2.1080e-13
AGMAT	4.8454e-16
AGMO	3.2958e-05
AGO1	1.0000e+00
AGO2	1.0000e+00
AGO3	1.0000e+00
AGO4	1.0000e+00
AGPAT1	9.9968e-01
AGPAT2	8.0783e-04
AGPAT3	1.0000e+00
AGPAT4	9.9725e-01
AGPAT5	2.2445e-08
AGPS	9.9993e-01
AGR2	7.8790e-05
AGR3	2.8689e-07
AGRN	4.5795e-19
AGRP	1.8129e-02
AGT	9.9515e-04
AGTPBP1	9.3214e-01
AGTR1	7.1609e-05
AGTR2	8.2345e-03
AGTRAP	1.2511e-01
AGXT	1.9476e-14
AGXT2	8.7778e-16
AHCTF1	1.0000e+00
AHCY	2.1862e-02
AHCYL1	1.0000e+00
AHCYL2	9.9985e-01
AHDC1	1.0000e+00
AHI1	7.1050e-01
AHNAK	1.0000e+00
AHNAK2	3.5287e-01
AHR	1.8472e-02
AHRR	4.0075e-01
AHSA1	9.7770e-01
AHSG	4.9669e-05
AHSP	2.7336e-03
AICDA	1.6160e-02
AIDA	9.5724e-01
AIF1	1.8185e-03
AIF1L	1.1394e-01
AIFM1	9.9795e-01
AIFM2	1.5626e-13
AIFM3	1.1703e-05
AIG1	2.4803e-02
AIM2	2.2986e-01
AIMP1	2.4703e-02
AIMP2	4.2177e-05
AIP	8.3367e-01
AIPL1	7.3274e-02
AIRE	2.7675e-16
AJAP1	9.9920e-01
AJM1	2.4545e-06
AJUBA	9.6910e-01
AK1	2.3175e-01
AK2	6.9920e-02
AK3	9.6710e-07
AK4	1.9825e-02
AK5	9.9098e-01
AK6	2.7309e-04
AK7	5.1759e-01
AK8	7.2774e-08
AK9	3.1923e-05
AKAIN1	1.1340e-01
AKAP1	9.9608e-01
AKAP10	9.9999e-01
AKAP11	1.0000e+00
AKAP12	9.9865e-01
AKAP13	1.0000e+00
AKAP14	6.5829e-01
AKAP17A	5.0167e-01
AKAP3	1.9507e-01
AKAP4	9.9323e-01
AKAP5	6.6125e-01
AKAP6	1.0000e+00
AKAP7	1.4321e-01
AKAP8	9.9438e-01
AKAP8L	5.3880e-01
AKAP9	3.5857e-04
AKIP1	5.6231e-02
AKIRIN1	9.9257e-01
AKIRIN2	9.9185e-01
AKNA	1.9793e-04
AKNAD1	4.3911e-06
AKR1A1	7.3996e-02
AKR1B1	6.2937e-03
AKR1B10	1.0860e-05
AKR1B15	4.3644e-04
AKR1C1	2.0821e-04
AKR1C2	7.0855e-05
AKR1C3	3.3464e-03
AKR1C4	5.2277e-13
AKR1D1	2.9529e-03
AKR1E2	3.5219e-02
AKR7A2	3.7421e-04
AKR7A3	2.5920e-10
AKT1	9.9533e-01
AKT1S1	2.8359e-03
AKT2	1.0000e+00
AKT3	9.9584e-01
AKTIP	8.7897e-01
ALAD	2.1776e-01
ALAS1	7.4492e-01
ALAS2	9.9586e-01
ALB	8.4574e-01
ALCAM	9.9507e-01
ALDH16A1	2.1487e-21
ALDH18A1	2.8372e-01
ALDH1A1	9.4673e-01
ALDH1A2	4.1152e-01
ALDH1A3	2.8761e-01
ALDH1B1	8.2578e-02
ALDH1L1	3.0897e-02
ALDH1L2	1.7575e-03
ALDH2	9.1157e-08
ALDH3A1	3.9344e-02
ALDH3A2	7.8889e-02
ALDH3B1	1.7388e-02
ALDH3B2	1.3919e-03
ALDH4A1	2.1533e-04
ALDH5A1	1.5130e-04
ALDH6A1	6.4007e-05
ALDH7A1	7.1824e-07
ALDH8A1	3.2722e-01
ALDH9A1	9.6314e-07
ALDOA	6.3183e-01
ALDOB	1.5265e-03
ALDOC	3.0419e-01
ALG1	3.4207e-05
ALG10	2.3327e-02
ALG10B	1.1794e-03
ALG11	3.3817e-03
ALG12	2.3989e-02
ALG13	9.9998e-01
ALG14	1.0011e-04
ALG1L2	2.5647e-04
ALG2	1.4974e-04
ALG3	1.2390e-04
ALG5	4.0554e-01
ALG6	2.2093e-05
ALG8	4.0728e-07
ALG9	1.3455e-06
ALK	2.0865e-01
ALKAL1	7.8926e-06
ALKAL2	1.5024e-01
ALKBH1	2.4266e-08
ALKBH2	9.0456e-04
ALKBH3	1.5816e-04
ALKBH4	2.4543e-01
ALKBH5	1.0000e+00
ALKBH6	1.6784e-04
ALKBH7	7.3901e-03
ALKBH8	3.7157e-02
ALLC	1.6759e-06
ALMS1	4.1855e-20
ALOX12	2.9131e-05
ALOX12B	1.7308e-04
ALOX15	7.1367e-21
ALOX15B	1.2658e-23
ALOX5	1.2122e-11
ALOX5AP	3.9850e-01
ALOXE3	1.0577e-15
ALPG	1.0272e-09
ALPI	3.3041e-16
ALPK1	1.7194e-25
ALPK2	3.1976e-31
ALPK3	2.1404e-26
ALPL	6.9975e-03
ALPP	4.7355e-12
ALS2	4.1202e-01
ALS2CL	1.0155e-15
ALX1	1.3837e-01
ALX3	1.1548e-01
ALX4	3.2353e-05
ALYREF	9.9971e-01
AMACR	1.8193e-04
AMBN	7.1433e-11
AMBP	1.4639e-08
AMBRA1	9.9417e-01
AMD1	9.9839e-01
AMDHD1	1.0742e-02
AMDHD2	4.2182e-03
AMELX	7.4507e-02
AMELY	8.3683e-05
AMER1	9.9407e-01
AMER2	8.3912e-01
AMER3	4.9450e-01
AMFR	9.9838e-01
AMH	1.0401e-19
AMHR2	5.1411e-03
AMIGO1	1.0000e+00
AMIGO2	1.1174e-04
AMIGO3	2.0663e-04
AMMECR1	9.1893e-01
AMMECR1L	1.0000e+00
AMN	2.7257e-02
AMN1	2.5259e-01
AMOT	9.9666e-01
AMOTL1	7.1112e-02
AMOTL2	7.4669e-01
AMPD1	7.3119e-21
AMPD2	3.7170e-08
AMPD3	4.3636e-01
AMPH	6.1574e-02
AMT	2.5597e-01
AMTN	7.8144e-09
AMY1A	7.0713e-02
AMY1C	8.7046e-01
AMY2A	1.8085e-02
AMY2B	1.7560e-04
AMZ1	8.6768e-09
AMZ2	5.4353e-02
ANAPC1	1.0000e+00
ANAPC10	5.1546e-01
ANAPC11	5.4539e-01
ANAPC13	7.3652e-04
ANAPC15	2.2890e-01
ANAPC16	7.9874e-01
ANAPC2	9.8994e-01
ANAPC4	1.0525e-02
ANAPC5	7.9912e-01
ANAPC7	9.9399e-01
ANG	4.2026e-01
ANGEL1	1.1942e-02
ANGEL2	8.1428e-06
ANGPT1	9.9987e-01
ANGPT2	8.4161e-01
ANGPT4	3.9649e-16
ANGPTL1	8.4399e-02
ANGPTL2	1.7261e-01
ANGPTL3	1.3857e-11
ANGPTL4	3.2505e-01
ANGPTL5	1.8065e-01
ANGPTL6	1.7992e-16
ANGPTL7	2.9632e-09
ANGPTL8	8.2391e-05
ANHX	9.4911e-03
ANK1	1.0000e+00
ANK2	1.0000e+00
ANK3	1.0000e+00
ANKAR	3.8788e-17
ANKDD1A	1.0310e-05
ANKDD1B	3.5165e-01
ANKEF1	2.0489e-06
ANKFN1	5.1025e-01
ANKFY1	9.9999e-01
ANKH	9.9945e-01
ANKHD1	1.0000e+00
ANKHD1-EIF4EBP3	1.0000e+00
ANKIB1	9.5157e-01
ANKK1	3.3672e-11
ANKLE1	2.0038e-19
ANKLE2	9.9249e-05
ANKMY1	1.6080e-01
ANKMY2	2.0983e-01
ANKRA2	2.3137e-04
ANKRD1	7.4905e-09
ANKRD10	1.4238e-01
ANKRD11	1.0000e+00
ANKRD12	2.2242e-01
ANKRD13A	3.9699e-01
ANKRD13B	9.7322e-01
ANKRD13C	9.9732e-01
ANKRD13D	9.7506e-01
ANKRD16	1.6509e-10
ANKRD17	1.0000e+00
ANKRD18A	6.2291e-06
ANKRD18B	1.1881e-01
ANKRD2	1.0639e-13
ANKRD20A1	9.3621e-01
ANKRD20A2P	6.0837e-01
ANKRD20A3P	2.4168e-01
ANKRD20A4P	9.9887e-01
ANKRD22	1.2960e-08
ANKRD23	2.1508e-21
ANKRD24	3.0858e-23
ANKRD26	5.8317e-02
ANKRD27	2.4197e-01
ANKRD28	9.9992e-01
ANKRD29	7.4189e-02
ANKRD30A	2.7349e-23
ANKRD30B	1.0150e-07
ANKRD30BL	5.6957e-04
ANKRD31	8.3851e-17
ANKRD33	3.1842e-05
ANKRD33B	6.9967e-01
ANKRD34A	9.9132e-01
ANKRD34B	4.6933e-02
ANKRD34C	2.4059e-01
ANKRD35	1.3233e-25
ANKRD36	2.5796e-03
ANKRD36B	9.6954e-01
ANKRD36C	1.0000e+00
ANKRD37	9.9880e-02
ANKRD39	1.3942e-06
ANKRD40	8.7505e-01
ANKRD42	9.0697e-03
ANKRD44	1.0000e+00
ANKRD45	2.0231e-06
ANKRD46	3.1186e-01
ANKRD49	2.9953e-01
ANKRD50	9.9998e-01
ANKRD52	1.0000e+00
ANKRD53	2.0539e-07
ANKRD54	8.3082e-04
ANKRD55	8.4722e-02
ANKRD6	1.8537e-01
ANKRD60	5.4855e-09
ANKRD61	2.5382e-03
ANKRD62	1.7476e-11
ANKRD63	9.6466e-08
ANKRD65	7.7547e-06
ANKRD66	1.1601e-01
ANKRD7	1.5396e-02
ANKRD9	3.7468e-05
ANKS1A	7.9316e-01
ANKS1B	1.0000e+00
ANKS3	2.1531e-02
ANKS4B	2.5430e-10
ANKS6	6.9143e-05
ANKUB1	5.1767e-06
ANKZF1	5.5863e-03
ANLN	9.3230e-01
ANO1	2.0823e-01
ANO10	1.0612e-02
ANO2	9.1570e-05
ANO3	3.0412e-06
ANO4	1.2028e-01
ANO5	6.4431e-22
ANO6	9.6842e-23
ANO7	3.9797e-05
ANO8	3.0019e-04
ANO9	8.1542e-11
ANP32A	1.0000e+00
ANP32B	9.9949e-01
ANP32C	3.0055e-02
ANP32D	1.5633e-02
ANP32E	8.7914e-01
ANPEP	4.2793e-12
ANTKMT	7.2686e-06
ANTXR1	1.0000e+00
ANTXR2	4.1257e-01
ANTXRL	6.7979e-03
ANXA1	1.6941e-04
ANXA10	1.6247e-07
ANXA11	2.1321e-02
ANXA13	9.9426e-04
ANXA2	4.4109e-01
ANXA3	6.7447e-02
ANXA4	1.6410e-06
ANXA5	3.2303e-02
ANXA6	8.3727e-02
ANXA7	3.7009e-04
ANXA8	8.1714e-01
ANXA8L1	6.4647e-04
ANXA9	4.5042e-14
AOAH	8.9204e-03
AOC1	5.1007e-07
AOC2	1.7247e-22
AOC3	1.1350e-04
AOPEP	1.7071e-02
AOX1	4.3869e-03
AP1AR	9.0419e-02
AP1B1	9.9966e-01
AP1G1	1.0000e+00
AP1G2	3.4243e-04
AP1M1	9.9497e-01
AP1M2	4.3166e-04
AP1S1	1.1569e-03
AP1S2	8.7521e-01
AP1S3	6.1365e-01
AP2A1	1.0000e+00
AP2A2	9.9994e-01
AP2B1	1.0000e+00
AP2M1	1.0000e+00
AP2S1	9.8986e-01
AP3B1	9.8051e-01
AP3B2	9.6448e-01
AP3D1	1.0000e+00
AP3M1	1.9350e-03
AP3M2	6.8298e-01
AP3S1	5.5042e-01
AP3S2	1.3594e-05
AP4B1	1.2533e-01
AP4E1	2.4972e-03
AP4M1	1.1874e-08
AP4S1	6.8283e-06
AP5B1	7.4949e-03
AP5M1	3.1613e-01
AP5S1	2.1786e-02
AP5Z1	4.6776e-07
APAF1	2.8548e-01
APBA1	9.6401e-02
APBA2	9.9714e-01
APBA3	5.3227e-13
APBB1	1.0000e+00
APBB1IP	8.3345e-01
APBB2	7.1997e-01
APBB3	7.1718e-11
APC	1.0000e+00
APC2	1.9864e-02
APCDD1	5.9013e-01
APCDD1L	5.8955e-05
APCS	2.0826e-02
APEH	7.3128e-05
APEX1	1.3217e-01
APEX2	9.7302e-01
APH1A	1.3375e-01
APH1B	1.3449e-06
API5	1.0000e+00
APIP	2.2902e-04
APLF	3.6864e-07
APLN	4.5897e-01
APLNR	3.0623e-02
APLP1	7.8387e-01
APLP2	3.0413e-02
APMAP	3.0919e-06
APOA1	3.0981e-06
APOA2	5.6932e-01
APOA4	5.7529e-07
APOA5	3.7990e-08
APOB	4.8043e-01
APOBEC1	2.4428e-05
APOBEC2	3.7279e-04
APOBEC3A	2.6904e-02
APOBEC3B	3.1971e-05
APOBEC3C	2.2304e-03
APOBEC3D	1.4259e-04
APOBEC3F	1.9437e-03
APOBEC3G	3.0071e-06
APOBEC3H	6.3297e-01
APOBEC4	5.2279e-01
APOBR	6.9012e-16
APOC1	3.4641e-01
APOC2	2.2456e-01
APOC3	1.1735e-02
APOC4	1.1106e-03
APOC4-APOC2	7.8243e-05
APOD	4.7397e-08
APOE	2.1518e-03
APOF	3.5111e-02
APOH	3.5753e-07
APOL1	3.6836e-02
APOL2	1.1035e-03
APOL3	2.5909e-02
APOL4	7.1807e-03
APOL5	4.6680e-05
APOL6	1.6125e-01
APOLD1	4.0150e-12
APOM	8.9003e-05
APOO	6.0201e-01
APOOL	2.1234e-02
APP	1.0000e+00
APPBP2	1.0000e+00
APPL1	9.8047e-01
APPL2	4.5479e-02
APRT	1.9251e-06
APTX	7.4169e-03
AQP1	2.2062e-01
AQP10	9.9089e-04
AQP11	3.1385e-06
AQP12A	3.5510e-05
AQP12B	4.1067e-04
AQP2	5.0445e-06
AQP3	2.0347e-01
AQP4	3.1201e-02
AQP5	7.1372e-03
AQP6	2.4715e-02
AQP7	3.2947e-02
AQP8	2.7143e-01
AQP9	1.0225e-04
AQR	1.0000e+00
AR	9.8837e-01
ARAF	9.6322e-01
ARAP1	9.6038e-01
ARAP2	2.6961e-01
ARAP3	4.8486e-02
ARC	8.1263e-04
ARCN1	1.0000e+00
AREG	4.1878e-01
AREL1	7.6151e-05
ARF1	9.9952e-01
ARF3	9.7842e-01
ARF4	9.8750e-01
ARF5	6.9526e-01
ARF6	9.9476e-01
ARFGAP1	9.3622e-01
ARFGAP2	5.9443e-01
ARFGAP3	2.3148e-04
ARFGEF1	1.0000e+00
ARFGEF2	1.0000e+00
ARFGEF3	7.2491e-10
ARFIP1	3.5916e-01
ARFIP2	9.6508e-01
ARFRP1	1.9461e-01
ARG1	1.2529e-03
ARG2	2.0672e-03
ARGFX	2.0931e-04
ARGLU1	9.9954e-01
ARHGAP1	5.0056e-01
ARHGAP10	4.2905e-05
ARHGAP11A	4.8842e-05
ARHGAP11A-SCG5	2.8048e-07
ARHGAP11B	7.2657e-03
ARHGAP12	2.9718e-03
ARHGAP15	9.1379e-03
ARHGAP17	8.4264e-01
ARHGAP18	5.5851e-16
ARHGAP19	1.7213e-06
ARHGAP20	9.5142e-01
ARHGAP21	1.0000e+00
ARHGAP22	9.7376e-05
ARHGAP23	1.0000e+00
ARHGAP24	6.2885e-01
ARHGAP25	2.8425e-02
ARHGAP26	9.9999e-01
ARHGAP27	1.4841e-01
ARHGAP28	3.2929e-01
ARHGAP29	9.9991e-01
ARHGAP30	9.9999e-01
ARHGAP31	1.0000e+00
ARHGAP32	1.0000e+00
ARHGAP33	7.2659e-01
ARHGAP35	1.0000e+00
ARHGAP36	9.7673e-01
ARHGAP39	9.6187e-05
ARHGAP4	9.9231e-01
ARHGAP40	4.3403e-02
ARHGAP42	1.4743e-01
ARHGAP44	7.9746e-02
ARHGAP45	6.8514e-02
ARHGAP5	1.0000e+00
ARHGAP6	9.9856e-01
ARHGAP8	6.8859e-04
ARHGAP9	5.8933e-01
ARHGDIA	7.6631e-01
ARHGDIB	1.8620e-01
ARHGDIG	2.1133e-04
ARHGEF1	9.9930e-01
ARHGEF10	3.5058e-08
ARHGEF10L	2.0230e-08
ARHGEF11	1.0000e+00
ARHGEF12	1.0000e+00
ARHGEF15	9.9017e-03
ARHGEF16	4.2504e-02
ARHGEF17	9.9993e-01
ARHGEF18	2.1611e-08
ARHGEF19	1.2535e-06
ARHGEF2	1.0000e+00
ARHGEF25	9.9513e-07
ARHGEF26	1.1483e-02
ARHGEF28	5.5211e-02
ARHGEF3	9.7278e-01
ARHGEF33	2.6061e-01
ARHGEF35	1.6472e-01
