gene_gencodeV33	FDR_TADA_ASD	FDR_TADA_DD	FDR_TADA_NDD	p_TADA_ASD	p_TADA_DD	p_TADA_NDD
RUSC1	0.063936914	0.791677493	0.040253077	0.000797498	0.197051206	0.001588217
CPD	0.064645421	0.816122203	0.041057499	0.000810249	0.240226045	0.001627683
SLC15A3	0.065353251	0.903108157	0.041327352	0.000823078	0.758954818	0.001640973
EXT1	0.066067217	0.003256502	3.64E-05	0.00083607	6.66E-05	6.50E-07
SVEP1	0.066780093	0.505910257	0.015220811	0.000849135	0.043022597	0.000493615
ZBTB21	0.067496415	0.76058253	0.042968275	0.000862331	0.158233987	0.0017223
PAPOLA	0.068211806	0.7317774	0.043243574	0.000875601	0.132145605	0.001736048
RUNX1T1	0.068936832	0.784241681	0.04434807	0.000889081	0.186443842	0.001791516
C3	0.069656161	0.781851141	0.044624853	0.000902576	0.183232964	0.001805496
GOLGA4	0.07037164	0.83241995	0.044901725	0.000916108	0.278985927	0.001819515
LRRC4	0.071083377	0.447513387	0.012053677	0.000929678	0.032897694	0.000376538
EIF3G	0.071789064	0.388305794	0.008154386	0.000943254	0.024889177	0.00024092
AP3B2	0.072488316	0.035742025	0.000429971	0.000956831	0.000970742	9.31E-06
FEZF2	0.073188897	0.750756174	0.046010348	0.00097051	0.14848668	0.001875983
MSANTD2	0.073887435	0.801338338	0.046288163	0.000984246	0.21241755	0.001890214
CTR9	0.074587437	0.016974369	0.000213683	0.000998087	0.000412868	4.36E-06
PAPOLG	0.075291991	0.767108678	0.047404718	0.001012074	0.165286451	0.001947704
METTL2A	0.076007996	0.902707372	0.048253268	0.001026301	0.75218904	0.001991649
SBNO2	0.076719019	0.810962092	0.048537068	0.001040547	0.229848029	0.002006407
AMH	0.077425166	0.910550902	0.0488205	0.001054812	0.909579388	0.002021186
PCSK2	0.078125669	0.572132417	0.025347543	0.001069086	0.05839186	0.000903118
BCL9	0.078821377	0.655059995	0.038435505	0.001083379	0.087216515	0.001499626
CELF4	0.0795183	0.132028346	0.001896449	0.001097773	0.004844879	4.73E-05
TFAP4	0.080212466	0.051650259	0.000662256	0.001112213	0.001496325	1.49E-05
SCAPER	0.080914581	0.802346898	0.049402469	0.001126848	0.214137663	0.002051478
AP3D1	0.081613426	0.519985353	0.019369898	0.001141522	0.045882875	0.000654902
NOTCH1	0.082315173	5.32E-05	7.23E-07	0.001156321	8.10E-07	1.07E-08
RTN4RL2	0.083012365	0.813832739	0.049989418	0.001171141	0.235524402	0.002082123
TBCEL	0.08371892	0.377638148	0.009670371	0.001186179	0.023635607	0.000292382
GATA5	0.08442722	0.84919376	0.051472789	0.001201326	0.33196541	0.002160051
ELAVL3	0.085139371	0.145514858	0.002273908	0.001216615	0.005515427	5.79E-05
CSDE1	0.085871421	0.269806912	0.005767725	0.001232275	0.013401859	0.000162809
CABP1	0.086603983	0.80678394	0.053581797	0.001248031	0.221992846	0.002272082
PPP1CC	0.087334112	0.790634118	0.05388833	0.001263841	0.195503104	0.002288461
SRP9	0.088068083	0.879398571	0.055114141	0.001279795	0.490846523	0.002354346
LMTK3	0.088796357	0.733585675	0.055419812	0.001295755	0.133579033	0.00237088
GPR4	0.089525233	0.412082603	0.013322339	0.001311811	0.027880595	0.000422855
ACIN1	0.090287942	0.741797826	0.060034513	0.001328454	0.140402148	0.002624786
TANC2	0.091046383	0.00512095	9.12E-05	0.001345126	0.000109103	1.74E-06
KIR3DL2	0.091801181	0.912134082	0.060652073	0.001361836	0.949256664	0.002659396
MYB	0.092552612	0.795936286	0.060960646	0.001378588	0.203587636	0.002676749
TRIM39	0.093307851	0.768481507	0.061887262	0.001395487	0.166834553	0.002729083
KIAA0232	0.094060741	0.739719157	0.062505177	0.001412442	0.138624698	0.002764173
PPP2R5D	0.094810739	0	0	0.001429445	0	0
MADD	0.095563926	0.842150311	0.063433423	0.001446587	0.307711815	0.00281716
STRIP1	0.096318951	0.68278886	0.056644525	0.001463848	0.100633883	0.002437486
YWHAZ	0.097068425	0.796875699	0.064676889	0.001481116	0.205078401	0.002888612
ARHGAP32	0.097812707	0.167069616	0.003113061	0.001498395	0.006655084	8.20E-05
CELF3	0.098580996	0.806057756	0.066862833	0.001516134	0.220674093	0.0030156
ZBTB1	0.099350765	0.535626997	0.029036912	0.001533988	0.049299719	0.00106371
TRIM24	0.100114762	0.711358911	0.067807231	0.001551846	0.117467307	0.003070954
RARA	0.100873302	0.40502334	0.014869507	0.001569712	0.026962969	0.000480357
GAD2	0.10164197	0.800862947	0.068755978	0.001587828	0.21161483	0.003126861
ONECUT2	0.102410026	0.80634279	0.069709506	0.001606027	0.221190127	0.003183344
KCNT2	0.103177747	6.72E-06	1.25E-07	0.001624314	9.04E-08	1.70E-09
TNIP2	0.103953016	0.863059651	0.071612788	0.001642813	0.391194638	0.003297211
ECPAS	0.104724939	0.740998074	0.07193195	0.001661353	0.139714103	0.003316418
LEO1	0.105496017	0.087993543	0.00160934	0.001679973	0.002873163	3.95E-05
KCNH1	0.106271555	1.39E-14	1.57E-16	0.001698758	9.70E-17	1.15E-18
ZEB2	0.107043546	0	0	0.00171758	0	0
ARHGAP44	0.107810558	0.749409518	0.072577467	0.001736415	0.147225264	0.003355285
SRRM3	0.108573533	0.562844091	0.037918789	0.001755278	0.055915226	0.001474709
YLPM1	0.1093521	0.765245609	0.074537383	0.001774486	0.163222315	0.003473946
PLXNA2	0.110125375	0.53466573	0.032874101	0.001793702	0.049082164	0.001237272
PNN	0.110899035	0.817963191	0.075843687	0.001813018	0.244124968	0.003553859
TOP3B	0.111670148	0.836822323	0.076494568	0.001832386	0.291370741	0.003593954
GATAD2B	0.1124491	0	0	0.001851977	0	0
TKT	0.113228627	0.8405228	0.079103848	0.001871671	0.302551476	0.003756242
ITGB4	0.114006969	0.851963661	0.07943022	0.00189144	0.3424581	0.003776723
RAPGEF1	0.114786048	0.750634498	0.080082972	0.001911316	0.148372006	0.003817806
RORC	0.115563202	0.725164594	0.080735828	0.001931253	0.12709994	0.003859059
NPTN	0.116336049	0.285736654	0.009392666	0.001951213	0.014675998	0.000282807
GRIN1	0.117105438	0	0	0.001971208	0	0
FRMD5	0.117870005	0.066589117	0.0013049	0.001991215	0.002033602	3.13E-05
TNIK	0.118631936	0.676757737	0.071293675	0.002011269	0.097498468	0.003278046
CACNA2D1	0.119390656	0.483344855	0.027385264	0.002031362	0.038799031	0.000991181
PHF3	0.120148406	0.774152432	0.08171849	0.002051529	0.173485657	0.003921407
LDB1	0.120904955	0.128012665	0.002842576	0.002071768	0.004651163	7.42E-05
HDLBP	0.121659261	0.302784363	0.011287852	0.00209206	0.016118112	0.000349075
ZNF536	0.122411441	0.542940164	0.039464523	0.002112406	0.050988672	0.001549677
KLHDC10	0.123173343	0.795899925	0.083046802	0.002133012	0.203530299	0.004005986
ATP6V1A	0.123930564	9.52E-11	1.51E-12	0.002153629	8.33E-13	1.39E-14
ATP1B1	0.124686318	0.516875051	0.035896526	0.002174312	0.045234075	0.001378047
CUL5	0.12543772	0.724776813	0.083716371	0.00219501	0.126813255	0.004048787
AHNAK	0.126184185	0.782841265	0.084050822	0.002215713	0.184551718	0.004070234
DNAH1	0.126939046	0.825823123	0.084724835	0.002236654	0.262071481	0.004113503
CDKN1C	0.127689656	0.457285131	0.026695095	0.002257611	0.034416419	0.000961177
GRIK2	0.128436013	0.055074125	0.001169325	0.002278584	0.001615459	2.78E-05
LCK	0.129180154	0.745642561	0.085737458	0.002299608	0.143785037	0.004178802
HUNK	0.129921617	0.765870835	0.086074443	0.002320673	0.163910361	0.004200625
GRIK3	0.130667556	0.738218612	0.088753048	0.002341909	0.137363282	0.004375885
AGAP2	0.131414784	0.767517603	0.089421701	0.002363259	0.165745148	0.004420071
SP3	0.132158926	0.720582566	0.089755981	0.002384643	0.123774388	0.004442225
CNOT3	0.132898566	2.01E-17	0	0.002406036	1.27E-19	0
PRPF4B	0.133634296	0.728745504	0.090089983	0.002427447	0.129794784	0.004464406
LONP1	0.134368712	0.018613979	0.000415856	0.002448924	0.000458365	8.97E-06
SARM1	0.135103221	0.895003199	0.090760942	0.002470491	0.641299082	0.004509042
MAN1A1	0.135845071	0.822525963	0.092438887	0.002492282	0.254273635	0.004621396
SREK1	0.136584446	0.795498813	0.093109864	0.002514117	0.202899591	0.004666622
CLK3	0.137326546	0.815432395	0.093781201	0.002536092	0.238792617	0.004712034
NTRK2	0.138069643	0.03339262	0.000815421	0.002558175	0.000896856	1.87E-05
KCNN2	0.138819941	0.76983388	0.096144687	0.002580482	0.168382655	0.004873004
SLC4A4	0.139569968	0.129348698	0.003400388	0.002602875	0.00471532	9.04E-05
LRFN3	0.140317218	0.327801409	0.015754984	0.002625307	0.018399495	0.000513903
DUS1L	0.141067932	0.353492604	0.017602341	0.002647894	0.020972297	0.000585203
XRCC6	0.141814315	0.748418642	0.098848888	0.002670491	0.14630787	0.005059669
HCN1	0.142562883	0.108557794	0.002905705	0.002693219	0.00375429	7.60E-05
LRRC4C	0.143315623	0.782024179	0.101206463	0.002716117	0.183462313	0.005224782
PHOX2B	0.144065255	0.791984023	0.101543227	0.002739047	0.197509903	0.005248537
SETD1A	0.144817622	7.06E-08	4.06E-09	0.00276212	7.76E-10	4.72E-11
CPSF7	0.145568592	0.054504211	0.001415974	0.002785258	0.001595453	3.43E-05
GAPVD1	0.146316847	0.556199565	0.049695645	0.002808434	0.054214482	0.002066769
ARF3	0.147067459	0.47423723	0.035140328	0.002831746	0.037209269	0.001342404
DCTN2	0.147819229	0.452274318	0.032625017	0.002855172	0.033629838	0.001225851
HECTD1	0.148568756	0.478223789	0.036907738	0.002878645	0.03789728	0.001426127
EML6	0.149327388	0.088616941	0.002433274	0.002902386	0.002898866	6.24E-05
NOXA1	0.150099968	0.88886498	0.106337659	0.00292649	0.572953255	0.005589735
NR3C2	0.150873101	0.057355486	0.001729259	0.002950699	0.001696224	4.27E-05
ADAMTS19	0.151646997	0.836665159	0.108421432	0.002975017	0.290912044	0.005740077
TOP2B	0.152416552	0.014231882	0.000401676	0.002999343	0.000338431	8.64E-06
ENC1	0.153182173	0.677427051	0.097837203	0.003023684	0.09784021	0.004989473
AP2M1	0.153944339	0.662587999	0.091766347	0.00304805	0.090618238	0.00457626
TM9SF4	0.154705573	0.22094121	0.0084264	0.003072489	0.009894475	0.000250013
ABL2	0.155467676	0.842664472	0.109466409	0.003097038	0.309374591	0.005816
LINGO1	0.156228026	0.60053571	0.069391956	0.003121645	0.066763732	0.00316449
GGNBP2	0.156984568	0.215863122	0.008290046	0.003146267	0.009562835	0.000245448
ASPHD2	0.15773871	0.837349548	0.110166949	0.003170932	0.292918843	0.005867041
SMC3	0.158490005	1.89E-07	7.27E-09	0.003195632	2.14E-09	8.61E-11
ITPKA	0.159240814	0.824510471	0.11156442	0.003220412	0.258917941	0.005969458
ARID2	0.159992167	0	0	0.003245295	0	0
MBNL1	0.160740557	0.814370167	0.112611632	0.003270208	0.236613807	0.006046682
RO60	0.161485275	0.81534914	0.113308656	0.003295137	0.238620606	0.006098324
SMAD4	0.162226614	0	0	0.003320086	0	0
ELAVL4	0.162968716	0.320140309	0.018579528	0.003345142	0.017679647	0.000623517
PSMC3	0.163706835	1.28E-06	3.98E-08	0.003370205	1.59E-08	5.15E-10
TNFAIP3	0.164442406	0.584100419	0.067177759	0.003395305	0.061763765	0.003034018
NALCN	0.165175534	4.80E-06	1.67E-07	0.003420444	6.35E-08	2.29E-09
FBXL3	0.165905163	0.64321986	0.086746261	0.003445598	0.082184978	0.004244294
UBN2	0.166632386	0.664173523	0.098512269	0.003470791	0.0913562	0.005036259
